O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
1.200000000000000000e+01,2.683358000000000132e+00,8.184199999999999808e-02,1.523018999999999901e+00,1.365040000000000031e+00,1.338235000000000063e+00,8.505999999999999672e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.836314999999999920e+00
1.200000000000000000e+01,2.697655000000000136e+00,9.134399999999999464e-02,1.481084999999999985e+00,1.332054999999999989e+00,1.396080999999999905e+00,1.778999999999999982e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.817312000000000038e+00
1.200000000000000000e+01,2.575930000000000053e+00,1.022639999999999938e-01,1.722525000000000084e+00,1.376725999999999894e+00,1.192412999999999945e+00,3.014199999999999866e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.795473000000000097e+00
1.200000000000000000e+01,2.758392000000000177e+00,9.571599999999999553e-02,1.377226999999999979e+00,1.313042999999999960e+00,1.454798999999999953e+00,8.229999999999999469e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.808567999999999953e+00
1.200000000000000000e+01,2.647170000000000023e+00,1.133429999999999993e-01,1.572124000000000077e+00,1.714150999999999980e+00,9.436379999999999768e-01,9.575000000000000178e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.773314999999999975e+00
1.200000000000000000e+01,2.807370000000000143e+00,8.102099999999999580e-02,1.283649999999999958e+00,2.125293999999999794e+00,6.914569999999999883e-01,1.120699999999999995e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.837957000000000063e+00
1.200000000000000000e+01,2.699502999999999986e+00,6.726600000000000634e-02,1.473584999999999923e+00,1.599205999999999905e+00,1.146381000000000094e+00,1.405700000000000005e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.865467999999999904e+00
1.200000000000000000e+01,2.867913999999999852e+00,5.763499999999999873e-02,1.188269999999999937e+00,2.103209000000000106e+00,7.537460000000000271e-01,2.922500000000000098e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.884729000000000099e+00
1.200000000000000000e+01,2.798061000000000131e+00,6.213699999999999779e-02,1.300653000000000059e+00,2.037189000000000139e+00,7.889990000000000059e-01,1.295999999999999930e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.875725000000000087e+00
1.200000000000000000e+01,2.856646000000000019e+00,7.252899999999999625e-02,1.226110000000000033e+00,1.570734000000000075e+00,1.261697000000000068e+00,1.228300000000000052e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.854942000000000091e+00
1.200000000000000000e+01,2.571436999999999973e+00,8.340500000000000691e-02,1.709024000000000099e+00,1.741279000000000021e+00,8.806180000000000119e-01,1.423800000000000066e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.833190000000000097e+00
1.200000000000000000e+01,2.680155000000000065e+00,7.174600000000000422e-02,1.506194000000000033e+00,1.658870999999999984e+00,1.079696999999999907e+00,3.337000000000000122e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.856508999999999965e+00
1.200000000000000000e+01,2.831087000000000131e+00,8.333999999999999742e-02,1.213678999999999952e+00,1.995975999999999972e+00,8.707570000000000032e-01,5.160999999999999789e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.833320999999999978e+00
1.200000000000000000e+01,2.713321999999999790e+00,8.315799999999999581e-02,1.467430999999999930e+00,1.402331999999999912e+00,1.330594999999999972e+00,3.161999999999999880e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.833682999999999952e+00
1.200000000000000000e+01,2.841038999999999870e+00,4.971500000000000224e-02,1.210819000000000090e+00,1.692094999999999905e+00,1.180838999999999972e+00,2.549399999999999930e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.900570000000000093e+00
1.200000000000000000e+01,2.877352000000000132e+00,5.477200000000000124e-02,1.174763000000000002e+00,1.831409999999999982e+00,1.042629999999999946e+00,1.907299999999999968e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.890455999999999914e+00
1.200000000000000000e+01,2.567110000000000003e+00,1.042959999999999998e-01,1.716871000000000036e+00,2.079242999999999952e+00,5.292329999999999535e-01,3.246999999999999886e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.791409000000000029e+00
1.200000000000000000e+01,2.691044000000000214e+00,8.507699999999999985e-02,1.487870999999999944e+00,1.401232999999999951e+00,1.330926000000000053e+00,3.848999999999999991e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.829844999999999944e+00
1.200000000000000000e+01,2.954670999999999825e+00,5.052100000000000340e-02,1.073819999999999997e+00,1.658403999999999989e+00,1.236126999999999976e+00,2.645799999999999888e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.898957999999999924e+00
1.200000000000000000e+01,2.662748000000000115e+00,8.550699999999999967e-02,1.531590999999999925e+00,1.176674999999999915e+00,1.536470000000000002e+00,7.008999999999999606e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.828986000000000001e+00
